name,lat,lon,status,P20_001,P20_002,P20_003,P20_004,P20_005,P20_006,P20_007,P20_008,P20_009,P20_010,P20_011,P20_012,レベル,備考,緯度,経度,NO
（株）浅田組資材置き場,33.203803,132.555574,open,38203,（株）浅田組資材置き場,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.203803,132.555574,794
（株）壹晴裏の山道,33.21982963,132.5456459,open,38203,（株）壹晴裏の山道,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.21982963,132.5456459,795
（小深浦）市道小深浦線,33.31965895,132.5088631,open,38203,（小深浦）市道小深浦線,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.31965895,132.5088631,796
（前）潮田雪枝さん宅裏山,33.22909057,132.5610755,open,38203,（前）潮田雪枝さん宅裏山,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.22909057,132.5610755,797
ＪＡ柿之浦支所裏山,33.19287677,132.4454321,open,38203,ＪＡ柿之浦支所裏山,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.19287677,132.4454321,798
えひめ南農協立間中央支所,33.29346509,132.5408715,open,38203,えひめ南農協立間中央支所,愛媛県宇和島市吉田町立間2-2266,収容施設,600,-1,0,0,0,0,0,1,3,,33.29346509,132.5408715,799
オイセ山,33.24165511,132.5519633,open,38203,オイセ山,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.24165511,132.5519633,800
グリーンコーポ前の農道,33.24368647,132.552608,open,38203,グリーンコーポ前の農道,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.24368647,132.552608,801
グリーンハイツ上の道,33.23255183,132.5657665,open,38203,グリーンハイツ上の道,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.23255183,132.5657665,802
ケアハウスいこい,33.227703,132.567114,open,38203,ケアハウスいこい,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.227703,132.567114,803
コーナン宇和島店駐車場,33.19294817,132.5467785,open,38203,コーナン宇和島店駐車場,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.19294817,132.5467785,804
コスモスタウン集会所,33.28801566,132.5868192,open,38203,コスモスタウン集会所,愛媛県宇和島市三間町是能202番地4,収容施設,-1,-1,0,0,0,0,0,1,4,,33.28801566,132.5868192,805
サンクス吉田店,33.28498486,132.5403423,open,38203,サンクス吉田店,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.28498486,132.5403423,806
セレモニーホール宇和島,33.19586,132.537217,open,38203,セレモニーホール宇和島,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.19586,132.537217,807
ダイキ駐車場,33.18874023,132.5466407,open,38203,ダイキ駐車場,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.18874023,132.5466407,808
タケ鼻,33.21401026,132.5225059,open,38203,タケ鼻,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.21401026,132.5225059,809
ダム上,33.16300361,132.4811438,open,38203,ダム上,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.16300361,132.4811438,810
ハイウエイレストラン宇和島駐車場,33.26444942,132.5669984,close,38203,ハイウエイレストラン宇和島駐車場,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.26444942,132.5669984,811
